22/12/2021 13:29:08: Started Running
22/12/2021 13:29:08: Training models
22/12/2021 13:45:51: Initiates models
22/12/2021 13:46:07: Starting DA process
22/12/2021 13:49:21: Saving results at step=0
22/12/2021 14:21:53: Saving results at step=10
22/12/2021 14:56:05: Saving results at step=20
22/12/2021 15:30:42: Saving results at step=30
22/12/2021 16:03:33: Saving results at step=40
22/12/2021 16:35:58: Saving results at step=50
22/12/2021 17:09:20: Saving results at step=60
22/12/2021 17:43:10: Saving results at step=70
22/12/2021 18:17:40: Saving results at step=80
22/12/2021 18:51:34: Saving results at step=90
22/12/2021 19:25:22: Saving results at step=100
22/12/2021 19:58:32: Saving results at step=110
22/12/2021 20:31:41: Saving results at step=120
22/12/2021 21:04:57: Saving results at step=130
22/12/2021 21:38:19: Saving results at step=140
22/12/2021 22:12:42: Saving results at step=150
22/12/2021 22:46:52: Saving results at step=160
22/12/2021 23:20:18: Saving results at step=170
22/12/2021 23:54:23: Saving results at step=180
23/12/2021 00:29:05: Saving results at step=190
23/12/2021 01:03:03: Saving results at step=200
23/12/2021 01:36:48: Saving results at step=210
23/12/2021 02:11:02: Saving results at step=220
23/12/2021 02:45:06: Saving results at step=230
23/12/2021 03:19:06: Saving results at step=240
23/12/2021 03:53:39: Saving results at step=250
23/12/2021 04:27:06: Saving results at step=260
23/12/2021 05:01:30: Saving results at step=270
23/12/2021 05:34:45: Saving results at step=280
23/12/2021 06:08:20: Saving results at step=290
23/12/2021 06:42:09: Saving results at step=300
23/12/2021 07:16:05: Saving results at step=310
23/12/2021 07:50:41: Saving results at step=320
23/12/2021 08:23:15: Saving results at step=330
23/12/2021 08:57:18: Saving results at step=340
23/12/2021 09:30:36: Saving results at step=350
23/12/2021 10:04:29: Saving results at step=360
23/12/2021 10:38:39: Saving results at step=370
23/12/2021 11:12:22: Saving results at step=380
23/12/2021 11:45:49: Saving results at step=390
23/12/2021 12:19:17: Saving results at step=400
23/12/2021 12:52:37: Saving results at step=410
23/12/2021 13:25:44: Saving results at step=420
23/12/2021 13:59:01: Saving results at step=430
23/12/2021 14:32:24: Saving results at step=440
23/12/2021 15:04:51: Saving results at step=450
23/12/2021 15:38:59: Saving results at step=460
23/12/2021 16:12:29: Saving results at step=470
23/12/2021 16:45:48: Saving results at step=480
23/12/2021 17:19:12: Saving results at step=490
23/12/2021 17:52:30: Saving results at step=500
23/12/2021 18:26:16: Saving results at step=510
23/12/2021 19:00:02: Saving results at step=520
23/12/2021 19:34:32: Saving results at step=530
23/12/2021 20:08:05: Saving results at step=540
23/12/2021 20:41:31: Saving results at step=550
23/12/2021 21:14:55: Saving results at step=560
23/12/2021 21:48:13: Saving results at step=570
23/12/2021 22:22:20: Saving results at step=580
23/12/2021 22:56:08: Saving results at step=590
23/12/2021 23:30:12: Saving results at step=600
24/12/2021 00:03:54: Saving results at step=610
24/12/2021 00:37:04: Saving results at step=620
24/12/2021 01:11:31: Saving results at step=630
24/12/2021 01:45:46: Saving results at step=640
24/12/2021 02:19:44: Saving results at step=650
24/12/2021 02:53:46: Saving results at step=660
24/12/2021 03:26:42: Saving results at step=670
24/12/2021 04:01:00: Saving results at step=680
24/12/2021 04:34:29: Saving results at step=690
24/12/2021 05:09:26: Saving results at step=700
24/12/2021 05:42:57: Saving results at step=710
24/12/2021 06:17:13: Saving results at step=720
24/12/2021 06:51:05: Saving results at step=730
24/12/2021 07:25:31: Saving results at step=740
24/12/2021 07:59:40: Saving results at step=750
24/12/2021 08:34:16: Saving results at step=760
24/12/2021 09:07:00: Saving results at step=770
24/12/2021 09:40:14: Saving results at step=780
24/12/2021 10:15:12: Saving results at step=790
24/12/2021 10:50:05: Saving results at step=800
24/12/2021 11:24:26: Saving results at step=810
24/12/2021 11:58:43: Saving results at step=820
24/12/2021 12:32:05: Saving results at step=830
24/12/2021 13:04:44: Saving results at step=840
24/12/2021 13:27:51: Done!
