22/12/2021 13:31:11: Started Running
22/12/2021 13:31:11: Training models
22/12/2021 13:47:18: Initiates models
22/12/2021 13:47:34: Starting DA process
22/12/2021 13:50:51: Saving results at step=0
22/12/2021 14:24:38: Saving results at step=10
22/12/2021 14:58:13: Saving results at step=20
22/12/2021 15:31:24: Saving results at step=30
22/12/2021 16:04:13: Saving results at step=40
22/12/2021 16:38:02: Saving results at step=50
22/12/2021 17:11:52: Saving results at step=60
22/12/2021 17:45:29: Saving results at step=70
22/12/2021 18:19:04: Saving results at step=80
22/12/2021 18:53:01: Saving results at step=90
22/12/2021 19:26:59: Saving results at step=100
22/12/2021 20:01:38: Saving results at step=110
22/12/2021 20:34:35: Saving results at step=120
22/12/2021 21:08:36: Saving results at step=130
22/12/2021 21:42:59: Saving results at step=140
22/12/2021 22:16:49: Saving results at step=150
22/12/2021 22:50:33: Saving results at step=160
22/12/2021 23:24:39: Saving results at step=170
22/12/2021 23:58:55: Saving results at step=180
23/12/2021 00:32:54: Saving results at step=190
23/12/2021 01:06:50: Saving results at step=200
23/12/2021 01:40:46: Saving results at step=210
23/12/2021 02:14:45: Saving results at step=220
23/12/2021 02:49:13: Saving results at step=230
23/12/2021 03:22:14: Saving results at step=240
23/12/2021 03:56:09: Saving results at step=250
23/12/2021 04:30:12: Saving results at step=260
23/12/2021 05:04:17: Saving results at step=270
23/12/2021 05:38:38: Saving results at step=280
23/12/2021 06:12:32: Saving results at step=290
23/12/2021 06:46:03: Saving results at step=300
23/12/2021 07:19:40: Saving results at step=310
23/12/2021 07:52:44: Saving results at step=320
23/12/2021 08:26:50: Saving results at step=330
23/12/2021 09:00:15: Saving results at step=340
23/12/2021 09:33:44: Saving results at step=350
23/12/2021 10:08:09: Saving results at step=360
23/12/2021 10:42:05: Saving results at step=370
23/12/2021 11:16:04: Saving results at step=380
23/12/2021 11:50:20: Saving results at step=390
23/12/2021 12:23:44: Saving results at step=400
23/12/2021 12:56:58: Saving results at step=410
23/12/2021 13:31:10: Saving results at step=420
23/12/2021 14:04:44: Saving results at step=430
23/12/2021 14:38:11: Saving results at step=440
23/12/2021 15:11:44: Saving results at step=450
23/12/2021 15:45:26: Saving results at step=460
23/12/2021 16:19:14: Saving results at step=470
23/12/2021 16:53:11: Saving results at step=480
23/12/2021 17:26:42: Saving results at step=490
23/12/2021 18:00:22: Saving results at step=500
23/12/2021 18:34:08: Saving results at step=510
23/12/2021 19:07:27: Saving results at step=520
23/12/2021 19:40:52: Saving results at step=530
23/12/2021 20:14:09: Saving results at step=540
23/12/2021 20:47:13: Saving results at step=550
23/12/2021 21:20:41: Saving results at step=560
23/12/2021 21:54:43: Saving results at step=570
23/12/2021 22:28:25: Saving results at step=580
23/12/2021 23:01:14: Saving results at step=590
23/12/2021 23:33:58: Saving results at step=600
24/12/2021 00:08:41: Saving results at step=610
24/12/2021 00:41:49: Saving results at step=620
24/12/2021 01:15:03: Saving results at step=630
24/12/2021 01:49:02: Saving results at step=640
24/12/2021 02:23:20: Saving results at step=650
24/12/2021 02:57:46: Saving results at step=660
24/12/2021 03:32:07: Saving results at step=670
24/12/2021 04:06:26: Saving results at step=680
24/12/2021 04:40:26: Saving results at step=690
24/12/2021 05:14:27: Saving results at step=700
24/12/2021 05:48:24: Saving results at step=710
24/12/2021 06:22:33: Saving results at step=720
24/12/2021 06:57:00: Saving results at step=730
24/12/2021 07:30:48: Saving results at step=740
24/12/2021 08:05:15: Saving results at step=750
24/12/2021 08:38:10: Saving results at step=760
24/12/2021 09:12:15: Saving results at step=770
24/12/2021 09:46:25: Saving results at step=780
24/12/2021 10:20:37: Saving results at step=790
24/12/2021 10:55:07: Saving results at step=800
24/12/2021 11:29:27: Saving results at step=810
24/12/2021 12:03:25: Saving results at step=820
24/12/2021 12:37:28: Saving results at step=830
24/12/2021 13:11:40: Saving results at step=840
24/12/2021 13:35:24: Done!
