27/12/2021 12:40:37: Started Running
27/12/2021 12:40:37: Training models
27/12/2021 14:11:41: Initiates models
27/12/2021 14:11:59: Starting DA process
27/12/2021 14:19:37: Saving results at step=0
27/12/2021 15:34:59: Saving results at step=10
27/12/2021 16:49:50: Saving results at step=20
27/12/2021 18:08:28: Saving results at step=30
27/12/2021 19:26:47: Saving results at step=40
27/12/2021 20:44:46: Saving results at step=50
27/12/2021 22:03:05: Saving results at step=60
27/12/2021 23:21:53: Saving results at step=70
28/12/2021 00:38:29: Saving results at step=80
28/12/2021 01:55:44: Saving results at step=90
28/12/2021 03:12:16: Saving results at step=100
28/12/2021 04:28:58: Saving results at step=110
28/12/2021 05:45:37: Saving results at step=120
28/12/2021 07:02:13: Saving results at step=130
28/12/2021 08:18:33: Saving results at step=140
28/12/2021 09:34:53: Saving results at step=150
28/12/2021 10:52:02: Saving results at step=160
28/12/2021 12:09:26: Saving results at step=170
28/12/2021 13:25:58: Saving results at step=180
28/12/2021 14:42:37: Saving results at step=190
28/12/2021 15:58:55: Saving results at step=200
28/12/2021 17:14:47: Saving results at step=210
28/12/2021 18:31:24: Saving results at step=220
28/12/2021 19:48:01: Saving results at step=230
28/12/2021 21:03:50: Saving results at step=240
28/12/2021 22:19:50: Saving results at step=250
28/12/2021 23:35:17: Saving results at step=260
29/12/2021 00:50:34: Saving results at step=270
29/12/2021 02:07:17: Saving results at step=280
29/12/2021 03:24:21: Saving results at step=290
29/12/2021 04:42:40: Saving results at step=300
29/12/2021 05:59:50: Saving results at step=310
29/12/2021 07:16:10: Saving results at step=320
29/12/2021 08:33:00: Saving results at step=330
29/12/2021 09:49:15: Saving results at step=340
29/12/2021 11:06:10: Saving results at step=350
29/12/2021 12:24:20: Saving results at step=360
29/12/2021 13:41:35: Saving results at step=370
29/12/2021 14:58:11: Saving results at step=380
29/12/2021 16:14:26: Saving results at step=390
29/12/2021 17:31:02: Saving results at step=400
29/12/2021 18:47:10: Saving results at step=410
29/12/2021 20:03:31: Saving results at step=420
29/12/2021 21:19:44: Saving results at step=430
29/12/2021 22:38:07: Saving results at step=440
29/12/2021 23:56:59: Saving results at step=450
30/12/2021 01:13:36: Saving results at step=460
30/12/2021 02:30:08: Saving results at step=470
30/12/2021 03:47:48: Saving results at step=480
30/12/2021 05:04:27: Saving results at step=490
30/12/2021 06:20:52: Saving results at step=500
30/12/2021 07:37:31: Saving results at step=510
30/12/2021 08:54:38: Saving results at step=520
30/12/2021 10:11:39: Saving results at step=530
30/12/2021 11:29:31: Saving results at step=540
30/12/2021 12:46:32: Saving results at step=550
30/12/2021 14:02:58: Saving results at step=560
30/12/2021 15:19:18: Saving results at step=570
30/12/2021 16:36:57: Saving results at step=580
30/12/2021 17:53:36: Saving results at step=590
30/12/2021 19:11:19: Saving results at step=600
30/12/2021 20:29:57: Saving results at step=610
30/12/2021 21:47:00: Saving results at step=620
30/12/2021 23:03:24: Saving results at step=630
31/12/2021 00:19:36: Saving results at step=640
31/12/2021 01:35:31: Saving results at step=650
31/12/2021 02:51:41: Saving results at step=660
31/12/2021 04:08:46: Saving results at step=670
31/12/2021 05:26:30: Saving results at step=680
31/12/2021 06:42:56: Saving results at step=690
31/12/2021 08:00:45: Saving results at step=700
31/12/2021 09:18:55: Saving results at step=710
31/12/2021 10:36:19: Saving results at step=720
31/12/2021 11:53:17: Saving results at step=730
31/12/2021 13:10:13: Saving results at step=740
31/12/2021 14:27:53: Saving results at step=750
31/12/2021 15:43:33: Saving results at step=760
31/12/2021 16:59:38: Saving results at step=770
31/12/2021 18:17:51: Saving results at step=780
31/12/2021 19:37:48: Saving results at step=790
31/12/2021 20:55:09: Saving results at step=800
31/12/2021 22:12:44: Saving results at step=810
31/12/2021 23:28:46: Saving results at step=820
01/01/2022 00:45:26: Saving results at step=830
01/01/2022 02:02:31: Saving results at step=840
01/01/2022 02:56:21: Done!
