26/12/2021 22:24:14: Started Running
26/12/2021 22:24:14: Training models
26/12/2021 23:53:52: Initiates models
26/12/2021 23:54:08: Starting DA process
26/12/2021 23:57:26: Saving results at step=0
27/12/2021 00:30:01: Saving results at step=10
27/12/2021 01:03:18: Saving results at step=20
27/12/2021 01:37:22: Saving results at step=30
27/12/2021 02:11:35: Saving results at step=40
27/12/2021 02:45:41: Saving results at step=50
27/12/2021 03:18:36: Saving results at step=60
27/12/2021 03:54:30: Saving results at step=70
27/12/2021 04:27:23: Saving results at step=80
27/12/2021 05:00:37: Saving results at step=90
27/12/2021 05:33:25: Saving results at step=100
27/12/2021 06:06:22: Saving results at step=110
27/12/2021 06:40:11: Saving results at step=120
27/12/2021 07:13:28: Saving results at step=130
27/12/2021 07:46:03: Saving results at step=140
27/12/2021 08:18:49: Saving results at step=150
27/12/2021 08:51:46: Saving results at step=160
27/12/2021 09:24:27: Saving results at step=170
27/12/2021 09:57:19: Saving results at step=180
27/12/2021 10:29:47: Saving results at step=190
27/12/2021 11:02:14: Saving results at step=200
27/12/2021 11:34:59: Saving results at step=210
27/12/2021 12:07:47: Saving results at step=220
27/12/2021 12:40:39: Saving results at step=230
27/12/2021 13:14:32: Saving results at step=240
27/12/2021 13:47:33: Saving results at step=250
27/12/2021 14:21:23: Saving results at step=260
27/12/2021 14:54:49: Saving results at step=270
27/12/2021 15:28:18: Saving results at step=280
27/12/2021 16:01:35: Saving results at step=290
27/12/2021 16:35:43: Saving results at step=300
27/12/2021 17:09:11: Saving results at step=310
27/12/2021 17:43:06: Saving results at step=320
27/12/2021 18:16:07: Saving results at step=330
27/12/2021 18:49:15: Saving results at step=340
27/12/2021 19:22:18: Saving results at step=350
27/12/2021 19:55:36: Saving results at step=360
27/12/2021 20:28:49: Saving results at step=370
27/12/2021 21:02:12: Saving results at step=380
27/12/2021 21:35:10: Saving results at step=390
27/12/2021 22:07:59: Saving results at step=400
27/12/2021 22:41:22: Saving results at step=410
27/12/2021 23:14:26: Saving results at step=420
27/12/2021 23:47:46: Saving results at step=430
28/12/2021 00:21:59: Saving results at step=440
28/12/2021 00:54:55: Saving results at step=450
28/12/2021 01:28:13: Saving results at step=460
28/12/2021 02:02:51: Saving results at step=470
28/12/2021 02:35:59: Saving results at step=480
28/12/2021 03:09:09: Saving results at step=490
28/12/2021 03:42:13: Saving results at step=500
28/12/2021 04:15:32: Saving results at step=510
28/12/2021 04:48:36: Saving results at step=520
28/12/2021 05:21:45: Saving results at step=530
28/12/2021 05:56:38: Saving results at step=540
28/12/2021 06:29:37: Saving results at step=550
28/12/2021 07:02:37: Saving results at step=560
28/12/2021 07:35:22: Saving results at step=570
28/12/2021 08:08:13: Saving results at step=580
28/12/2021 08:40:58: Saving results at step=590
28/12/2021 09:13:27: Saving results at step=600
28/12/2021 09:46:14: Saving results at step=610
28/12/2021 10:19:10: Saving results at step=620
28/12/2021 10:52:10: Saving results at step=630
28/12/2021 11:26:05: Saving results at step=640
28/12/2021 11:58:54: Saving results at step=650
28/12/2021 12:31:33: Saving results at step=660
28/12/2021 13:04:22: Saving results at step=670
28/12/2021 13:37:22: Saving results at step=680
28/12/2021 14:10:04: Saving results at step=690
28/12/2021 14:42:58: Saving results at step=700
28/12/2021 15:15:33: Saving results at step=710
28/12/2021 15:48:16: Saving results at step=720
28/12/2021 16:21:04: Saving results at step=730
28/12/2021 16:53:53: Saving results at step=740
28/12/2021 17:26:37: Saving results at step=750
28/12/2021 17:59:28: Saving results at step=760
28/12/2021 18:32:12: Saving results at step=770
28/12/2021 19:05:04: Saving results at step=780
28/12/2021 19:38:19: Saving results at step=790
28/12/2021 20:11:33: Saving results at step=800
28/12/2021 20:45:48: Saving results at step=810
28/12/2021 21:18:48: Saving results at step=820
28/12/2021 21:51:40: Saving results at step=830
28/12/2021 22:25:02: Saving results at step=840
28/12/2021 22:48:21: Done!
