22/12/2021 13:40:41: Started Running
22/12/2021 13:40:42: Training models
22/12/2021 13:56:45: Initiates models
22/12/2021 13:57:03: Starting DA process
22/12/2021 14:04:46: Saving results at step=0
22/12/2021 15:21:02: Saving results at step=10
22/12/2021 16:37:23: Saving results at step=20
22/12/2021 17:53:15: Saving results at step=30
22/12/2021 19:09:12: Saving results at step=40
22/12/2021 20:24:50: Saving results at step=50
22/12/2021 21:40:15: Saving results at step=60
22/12/2021 22:55:30: Saving results at step=70
23/12/2021 00:10:59: Saving results at step=80
23/12/2021 01:26:10: Saving results at step=90
23/12/2021 02:41:13: Saving results at step=100
23/12/2021 03:56:29: Saving results at step=110
23/12/2021 05:12:10: Saving results at step=120
23/12/2021 06:27:20: Saving results at step=130
23/12/2021 07:42:03: Saving results at step=140
23/12/2021 08:56:58: Saving results at step=150
23/12/2021 10:13:35: Saving results at step=160
23/12/2021 11:31:04: Saving results at step=170
23/12/2021 12:48:43: Saving results at step=180
23/12/2021 14:06:15: Saving results at step=190
23/12/2021 15:22:42: Saving results at step=200
23/12/2021 16:38:41: Saving results at step=210
23/12/2021 17:54:26: Saving results at step=220
23/12/2021 19:10:02: Saving results at step=230
23/12/2021 20:26:28: Saving results at step=240
23/12/2021 21:44:01: Saving results at step=250
23/12/2021 23:01:43: Saving results at step=260
24/12/2021 00:18:14: Saving results at step=270
24/12/2021 01:34:12: Saving results at step=280
24/12/2021 02:49:54: Saving results at step=290
24/12/2021 04:06:06: Saving results at step=300
24/12/2021 05:22:46: Saving results at step=310
24/12/2021 06:38:49: Saving results at step=320
24/12/2021 07:57:44: Saving results at step=330
24/12/2021 09:14:39: Saving results at step=340
24/12/2021 10:31:55: Saving results at step=350
24/12/2021 11:49:38: Saving results at step=360
24/12/2021 13:07:00: Saving results at step=370
24/12/2021 14:24:21: Saving results at step=380
24/12/2021 15:40:34: Saving results at step=390
24/12/2021 16:57:02: Saving results at step=400
24/12/2021 18:13:55: Saving results at step=410
24/12/2021 19:30:30: Saving results at step=420
24/12/2021 20:47:11: Saving results at step=430
24/12/2021 22:03:50: Saving results at step=440
24/12/2021 23:20:39: Saving results at step=450
25/12/2021 00:36:59: Saving results at step=460
25/12/2021 01:53:33: Saving results at step=470
25/12/2021 03:10:32: Saving results at step=480
25/12/2021 04:29:21: Saving results at step=490
25/12/2021 05:46:12: Saving results at step=500
25/12/2021 07:03:29: Saving results at step=510
25/12/2021 08:21:27: Saving results at step=520
25/12/2021 09:39:38: Saving results at step=530
25/12/2021 10:57:01: Saving results at step=540
25/12/2021 12:13:31: Saving results at step=550
25/12/2021 13:29:53: Saving results at step=560
25/12/2021 14:46:05: Saving results at step=570
25/12/2021 16:02:57: Saving results at step=580
25/12/2021 17:19:27: Saving results at step=590
25/12/2021 18:35:17: Saving results at step=600
25/12/2021 19:51:11: Saving results at step=610
25/12/2021 21:07:09: Saving results at step=620
25/12/2021 22:23:16: Saving results at step=630
25/12/2021 23:39:14: Saving results at step=640
26/12/2021 00:56:05: Saving results at step=650
26/12/2021 02:14:03: Saving results at step=660
26/12/2021 03:33:03: Saving results at step=670
26/12/2021 04:49:33: Saving results at step=680
26/12/2021 06:07:15: Saving results at step=690
26/12/2021 07:24:11: Saving results at step=700
26/12/2021 08:41:08: Saving results at step=710
26/12/2021 09:57:20: Saving results at step=720
26/12/2021 11:13:25: Saving results at step=730
26/12/2021 12:31:03: Saving results at step=740
26/12/2021 13:48:51: Saving results at step=750
26/12/2021 15:06:53: Saving results at step=760
26/12/2021 16:23:21: Saving results at step=770
26/12/2021 17:39:50: Saving results at step=780
26/12/2021 18:56:10: Saving results at step=790
26/12/2021 20:12:14: Saving results at step=800
26/12/2021 21:28:12: Saving results at step=810
26/12/2021 22:46:26: Saving results at step=820
27/12/2021 00:02:13: Saving results at step=830
27/12/2021 01:19:05: Saving results at step=840
27/12/2021 02:11:56: Done!
