22/12/2021 13:02:16: Started Running
22/12/2021 13:02:16: Training models
22/12/2021 13:17:55: Initiates models
22/12/2021 13:18:11: Starting DA process
22/12/2021 13:21:27: Saving results at step=0
22/12/2021 13:54:42: Saving results at step=10
22/12/2021 14:28:12: Saving results at step=20
22/12/2021 15:01:49: Saving results at step=30
22/12/2021 15:35:00: Saving results at step=40
22/12/2021 16:08:45: Saving results at step=50
22/12/2021 16:42:06: Saving results at step=60
22/12/2021 17:15:43: Saving results at step=70
22/12/2021 17:49:11: Saving results at step=80
22/12/2021 18:22:22: Saving results at step=90
22/12/2021 18:55:56: Saving results at step=100
22/12/2021 19:29:11: Saving results at step=110
22/12/2021 20:02:36: Saving results at step=120
22/12/2021 20:35:46: Saving results at step=130
22/12/2021 21:09:13: Saving results at step=140
22/12/2021 21:43:19: Saving results at step=150
22/12/2021 22:17:15: Saving results at step=160
22/12/2021 22:50:27: Saving results at step=170
22/12/2021 23:24:16: Saving results at step=180
22/12/2021 23:57:10: Saving results at step=190
23/12/2021 00:32:24: Saving results at step=200
23/12/2021 01:06:11: Saving results at step=210
23/12/2021 01:39:56: Saving results at step=220
23/12/2021 02:14:00: Saving results at step=230
23/12/2021 02:47:58: Saving results at step=240
23/12/2021 03:21:15: Saving results at step=250
23/12/2021 03:54:29: Saving results at step=260
23/12/2021 04:28:15: Saving results at step=270
23/12/2021 05:02:02: Saving results at step=280
23/12/2021 05:36:20: Saving results at step=290
23/12/2021 06:10:51: Saving results at step=300
23/12/2021 06:43:31: Saving results at step=310
23/12/2021 07:17:40: Saving results at step=320
23/12/2021 07:52:15: Saving results at step=330
23/12/2021 08:26:35: Saving results at step=340
23/12/2021 09:00:52: Saving results at step=350
23/12/2021 09:35:06: Saving results at step=360
23/12/2021 10:09:30: Saving results at step=370
23/12/2021 10:43:59: Saving results at step=380
23/12/2021 11:18:08: Saving results at step=390
23/12/2021 11:52:14: Saving results at step=400
23/12/2021 12:26:16: Saving results at step=410
23/12/2021 13:00:48: Saving results at step=420
23/12/2021 13:34:42: Saving results at step=430
23/12/2021 14:08:43: Saving results at step=440
23/12/2021 14:42:31: Saving results at step=450
23/12/2021 15:16:50: Saving results at step=460
23/12/2021 15:50:32: Saving results at step=470
23/12/2021 16:23:56: Saving results at step=480
23/12/2021 16:57:16: Saving results at step=490
23/12/2021 17:30:36: Saving results at step=500
23/12/2021 18:05:42: Saving results at step=510
23/12/2021 18:39:59: Saving results at step=520
23/12/2021 19:14:13: Saving results at step=530
23/12/2021 19:47:37: Saving results at step=540
23/12/2021 20:21:06: Saving results at step=550
23/12/2021 20:55:17: Saving results at step=560
23/12/2021 21:28:44: Saving results at step=570
23/12/2021 22:01:42: Saving results at step=580
23/12/2021 22:34:32: Saving results at step=590
23/12/2021 23:07:28: Saving results at step=600
23/12/2021 23:40:18: Saving results at step=610
24/12/2021 00:13:16: Saving results at step=620
24/12/2021 00:45:45: Saving results at step=630
24/12/2021 01:18:30: Saving results at step=640
24/12/2021 01:51:03: Saving results at step=650
24/12/2021 02:24:05: Saving results at step=660
24/12/2021 02:57:31: Saving results at step=670
24/12/2021 03:30:51: Saving results at step=680
24/12/2021 04:04:11: Saving results at step=690
24/12/2021 04:37:03: Saving results at step=700
24/12/2021 05:09:46: Saving results at step=710
24/12/2021 05:42:38: Saving results at step=720
24/12/2021 06:15:37: Saving results at step=730
24/12/2021 06:49:01: Saving results at step=740
24/12/2021 07:22:12: Saving results at step=750
24/12/2021 07:55:02: Saving results at step=760
24/12/2021 08:28:26: Saving results at step=770
24/12/2021 09:01:28: Saving results at step=780
24/12/2021 09:36:28: Saving results at step=790
24/12/2021 10:10:48: Saving results at step=800
24/12/2021 10:44:31: Saving results at step=810
24/12/2021 11:18:54: Saving results at step=820
24/12/2021 11:52:17: Saving results at step=830
24/12/2021 12:25:30: Saving results at step=840
24/12/2021 12:49:30: Done!
