22/12/2021 12:17:27: Started Running
22/12/2021 12:17:27: Training models
22/12/2021 12:20:13: Initiates models
22/12/2021 12:20:31: Starting DA process
22/12/2021 12:28:10: Saving results at step=0
22/12/2021 13:44:37: Saving results at step=10
22/12/2021 15:00:46: Saving results at step=20
22/12/2021 16:19:15: Saving results at step=30
22/12/2021 17:36:42: Saving results at step=40
22/12/2021 18:52:58: Saving results at step=50
22/12/2021 20:09:37: Saving results at step=60
22/12/2021 21:26:57: Saving results at step=70
22/12/2021 22:43:57: Saving results at step=80
23/12/2021 00:00:52: Saving results at step=90
23/12/2021 01:17:30: Saving results at step=100
23/12/2021 02:34:02: Saving results at step=110
23/12/2021 03:50:27: Saving results at step=120
23/12/2021 05:07:33: Saving results at step=130
23/12/2021 06:24:55: Saving results at step=140
23/12/2021 07:41:29: Saving results at step=150
23/12/2021 08:58:15: Saving results at step=160
23/12/2021 10:15:07: Saving results at step=170
23/12/2021 11:31:22: Saving results at step=180
23/12/2021 12:48:31: Saving results at step=190
23/12/2021 14:05:13: Saving results at step=200
23/12/2021 15:21:09: Saving results at step=210
23/12/2021 16:36:15: Saving results at step=220
23/12/2021 17:51:28: Saving results at step=230
23/12/2021 19:07:23: Saving results at step=240
23/12/2021 20:25:17: Saving results at step=250
23/12/2021 21:41:58: Saving results at step=260
23/12/2021 22:57:45: Saving results at step=270
24/12/2021 00:14:38: Saving results at step=280
24/12/2021 01:31:49: Saving results at step=290
24/12/2021 02:49:17: Saving results at step=300
24/12/2021 04:06:09: Saving results at step=310
24/12/2021 05:23:25: Saving results at step=320
24/12/2021 06:40:19: Saving results at step=330
24/12/2021 07:56:49: Saving results at step=340
24/12/2021 09:12:53: Saving results at step=350
24/12/2021 10:30:13: Saving results at step=360
24/12/2021 11:46:15: Saving results at step=370
24/12/2021 13:02:26: Saving results at step=380
24/12/2021 14:18:25: Saving results at step=390
24/12/2021 15:34:13: Saving results at step=400
24/12/2021 16:51:01: Saving results at step=410
24/12/2021 18:08:03: Saving results at step=420
24/12/2021 19:26:04: Saving results at step=430
24/12/2021 20:42:53: Saving results at step=440
24/12/2021 21:59:17: Saving results at step=450
24/12/2021 23:16:31: Saving results at step=460
25/12/2021 00:33:48: Saving results at step=470
25/12/2021 01:51:52: Saving results at step=480
25/12/2021 03:07:27: Saving results at step=490
25/12/2021 04:24:22: Saving results at step=500
25/12/2021 05:40:06: Saving results at step=510
25/12/2021 06:56:34: Saving results at step=520
25/12/2021 08:13:22: Saving results at step=530
25/12/2021 09:30:01: Saving results at step=540
25/12/2021 10:46:45: Saving results at step=550
25/12/2021 12:02:39: Saving results at step=560
25/12/2021 13:19:50: Saving results at step=570
25/12/2021 14:34:56: Saving results at step=580
25/12/2021 15:52:38: Saving results at step=590
