06/01/2022 02:56:54: Started Running
06/01/2022 02:56:55: Training models
06/01/2022 06:18:03: Initiates models
06/01/2022 06:18:19: Starting DA process
06/01/2022 06:21:39: Saving results at step=0
06/01/2022 06:55:03: Saving results at step=10
06/01/2022 07:29:05: Saving results at step=20
06/01/2022 08:03:41: Saving results at step=30
06/01/2022 08:38:36: Saving results at step=40
06/01/2022 09:13:04: Saving results at step=50
06/01/2022 09:48:10: Saving results at step=60
06/01/2022 10:22:18: Saving results at step=70
06/01/2022 10:56:18: Saving results at step=80
06/01/2022 11:29:14: Saving results at step=90
06/01/2022 12:02:50: Saving results at step=100
06/01/2022 12:37:56: Saving results at step=110
06/01/2022 13:12:16: Saving results at step=120
06/01/2022 13:46:38: Saving results at step=130
06/01/2022 14:20:24: Saving results at step=140
06/01/2022 14:54:19: Saving results at step=150
06/01/2022 15:28:19: Saving results at step=160
06/01/2022 16:02:06: Saving results at step=170
06/01/2022 16:36:14: Saving results at step=180
06/01/2022 17:09:56: Saving results at step=190
06/01/2022 17:43:26: Saving results at step=200
06/01/2022 18:16:44: Saving results at step=210
06/01/2022 18:50:16: Saving results at step=220
06/01/2022 19:23:48: Saving results at step=230
06/01/2022 19:58:04: Saving results at step=240
06/01/2022 20:31:23: Saving results at step=250
06/01/2022 21:04:43: Saving results at step=260
06/01/2022 21:37:52: Saving results at step=270
06/01/2022 22:11:51: Saving results at step=280
06/01/2022 22:45:08: Saving results at step=290
06/01/2022 23:18:16: Saving results at step=300
06/01/2022 23:51:55: Saving results at step=310
07/01/2022 00:25:01: Saving results at step=320
07/01/2022 00:58:12: Saving results at step=330
07/01/2022 01:32:32: Saving results at step=340
07/01/2022 02:06:16: Saving results at step=350
07/01/2022 02:39:57: Saving results at step=360
07/01/2022 03:13:26: Saving results at step=370
07/01/2022 03:46:48: Saving results at step=380
07/01/2022 04:19:48: Saving results at step=390
07/01/2022 04:53:03: Saving results at step=400
07/01/2022 05:27:08: Saving results at step=410
07/01/2022 06:01:01: Saving results at step=420
07/01/2022 06:34:16: Saving results at step=430
07/01/2022 07:07:17: Saving results at step=440
07/01/2022 07:40:28: Saving results at step=450
07/01/2022 08:13:57: Saving results at step=460
07/01/2022 08:47:58: Saving results at step=470
07/01/2022 09:21:45: Saving results at step=480
07/01/2022 09:55:11: Saving results at step=490
07/01/2022 10:28:34: Saving results at step=500
07/01/2022 11:02:04: Saving results at step=510
07/01/2022 11:36:03: Saving results at step=520
07/01/2022 12:09:27: Saving results at step=530
07/01/2022 12:42:43: Saving results at step=540
07/01/2022 13:16:10: Saving results at step=550
07/01/2022 13:50:00: Saving results at step=560
07/01/2022 14:23:15: Saving results at step=570
07/01/2022 14:56:27: Saving results at step=580
07/01/2022 15:29:59: Saving results at step=590
07/01/2022 16:03:07: Saving results at step=600
07/01/2022 16:36:14: Saving results at step=610
07/01/2022 17:09:12: Saving results at step=620
07/01/2022 17:42:11: Saving results at step=630
07/01/2022 18:15:03: Saving results at step=640
07/01/2022 18:48:11: Saving results at step=650
07/01/2022 19:20:51: Saving results at step=660
07/01/2022 19:54:13: Saving results at step=670
07/01/2022 20:27:02: Saving results at step=680
07/01/2022 20:59:56: Saving results at step=690
07/01/2022 21:33:02: Saving results at step=700
07/01/2022 22:06:32: Saving results at step=710
07/01/2022 22:39:31: Saving results at step=720
07/01/2022 23:12:13: Saving results at step=730
07/01/2022 23:44:56: Saving results at step=740
08/01/2022 00:19:26: Saving results at step=750
08/01/2022 00:52:55: Saving results at step=760
08/01/2022 01:26:02: Saving results at step=770
08/01/2022 01:59:14: Saving results at step=780
08/01/2022 02:32:40: Saving results at step=790
08/01/2022 03:05:54: Saving results at step=800
08/01/2022 03:39:20: Saving results at step=810
08/01/2022 04:14:29: Saving results at step=820
08/01/2022 04:48:09: Saving results at step=830
08/01/2022 05:21:36: Saving results at step=840
08/01/2022 05:45:02: Done!
