07/01/2022 22:50:15: Started Running
07/01/2022 22:50:15: Training models
08/01/2022 02:11:58: Initiates models
08/01/2022 02:12:14: Starting DA process
08/01/2022 02:15:47: Saving results at step=0
08/01/2022 02:48:44: Saving results at step=10
08/01/2022 03:21:21: Saving results at step=20
08/01/2022 03:53:53: Saving results at step=30
08/01/2022 04:27:08: Saving results at step=40
08/01/2022 04:59:56: Saving results at step=50
08/01/2022 05:32:24: Saving results at step=60
08/01/2022 06:05:03: Saving results at step=70
08/01/2022 06:37:42: Saving results at step=80
08/01/2022 07:10:09: Saving results at step=90
08/01/2022 07:42:46: Saving results at step=100
08/01/2022 08:15:05: Saving results at step=110
08/01/2022 08:47:21: Saving results at step=120
08/01/2022 09:19:54: Saving results at step=130
08/01/2022 09:52:16: Saving results at step=140
08/01/2022 10:25:02: Saving results at step=150
08/01/2022 10:57:46: Saving results at step=160
08/01/2022 11:30:18: Saving results at step=170
08/01/2022 12:02:47: Saving results at step=180
08/01/2022 12:35:17: Saving results at step=190
08/01/2022 13:09:36: Saving results at step=200
08/01/2022 13:42:46: Saving results at step=210
08/01/2022 14:15:41: Saving results at step=220
08/01/2022 14:48:11: Saving results at step=230
08/01/2022 15:21:48: Saving results at step=240
08/01/2022 15:54:22: Saving results at step=250
08/01/2022 16:26:58: Saving results at step=260
08/01/2022 17:00:36: Saving results at step=270
08/01/2022 17:35:09: Saving results at step=280
08/01/2022 18:10:11: Saving results at step=290
08/01/2022 18:42:42: Saving results at step=300
08/01/2022 19:17:18: Saving results at step=310
08/01/2022 19:50:14: Saving results at step=320
08/01/2022 20:23:48: Saving results at step=330
08/01/2022 20:57:36: Saving results at step=340
08/01/2022 21:34:18: Saving results at step=350
08/01/2022 22:07:50: Saving results at step=360
08/01/2022 22:42:56: Saving results at step=370
08/01/2022 23:17:00: Saving results at step=380
08/01/2022 23:49:57: Saving results at step=390
09/01/2022 00:22:37: Saving results at step=400
09/01/2022 00:57:39: Saving results at step=410
09/01/2022 01:31:44: Saving results at step=420
09/01/2022 02:05:21: Saving results at step=430
09/01/2022 02:38:42: Saving results at step=440
09/01/2022 03:11:58: Saving results at step=450
09/01/2022 03:46:42: Saving results at step=460
09/01/2022 04:19:57: Saving results at step=470
09/01/2022 04:53:48: Saving results at step=480
09/01/2022 05:27:21: Saving results at step=490
09/01/2022 06:00:41: Saving results at step=500
09/01/2022 06:33:33: Saving results at step=510
09/01/2022 07:06:25: Saving results at step=520
09/01/2022 07:38:57: Saving results at step=530
09/01/2022 08:14:13: Saving results at step=540
09/01/2022 08:47:40: Saving results at step=550
09/01/2022 09:22:48: Saving results at step=560
09/01/2022 09:56:02: Saving results at step=570
09/01/2022 10:29:04: Saving results at step=580
09/01/2022 11:01:50: Saving results at step=590
09/01/2022 11:34:38: Saving results at step=600
09/01/2022 12:07:12: Saving results at step=610
09/01/2022 12:40:50: Saving results at step=620
09/01/2022 13:13:51: Saving results at step=630
09/01/2022 13:46:43: Saving results at step=640
09/01/2022 14:19:28: Saving results at step=650
09/01/2022 14:52:17: Saving results at step=660
09/01/2022 15:25:00: Saving results at step=670
09/01/2022 15:57:55: Saving results at step=680
09/01/2022 16:31:42: Saving results at step=690
09/01/2022 17:04:32: Saving results at step=700
09/01/2022 17:37:18: Saving results at step=710
09/01/2022 18:09:44: Saving results at step=720
09/01/2022 18:42:35: Saving results at step=730
09/01/2022 19:15:48: Saving results at step=740
09/01/2022 19:48:37: Saving results at step=750
09/01/2022 20:21:25: Saving results at step=760
09/01/2022 20:54:42: Saving results at step=770
09/01/2022 21:27:37: Saving results at step=780
09/01/2022 22:00:40: Saving results at step=790
09/01/2022 22:33:15: Saving results at step=800
09/01/2022 23:07:55: Saving results at step=810
09/01/2022 23:42:35: Saving results at step=820
10/01/2022 00:15:09: Saving results at step=830
10/01/2022 00:47:42: Saving results at step=840
10/01/2022 01:10:35: Done!
