27/12/2021 12:42:38: Started Running
27/12/2021 12:42:38: Training models
27/12/2021 14:11:46: Initiates models
27/12/2021 14:12:03: Starting DA process
27/12/2021 14:19:35: Saving results at step=0
27/12/2021 15:36:15: Saving results at step=10
27/12/2021 16:53:13: Saving results at step=20
27/12/2021 18:10:24: Saving results at step=30
27/12/2021 19:27:47: Saving results at step=40
27/12/2021 20:46:32: Saving results at step=50
27/12/2021 22:04:20: Saving results at step=60
27/12/2021 23:21:48: Saving results at step=70
28/12/2021 00:39:41: Saving results at step=80
28/12/2021 01:56:59: Saving results at step=90
28/12/2021 03:13:56: Saving results at step=100
28/12/2021 04:30:41: Saving results at step=110
28/12/2021 05:49:40: Saving results at step=120
28/12/2021 07:05:56: Saving results at step=130
28/12/2021 08:22:03: Saving results at step=140
28/12/2021 09:38:12: Saving results at step=150
28/12/2021 10:54:19: Saving results at step=160
28/12/2021 12:11:07: Saving results at step=170
28/12/2021 13:28:20: Saving results at step=180
28/12/2021 14:46:56: Saving results at step=190
28/12/2021 16:03:06: Saving results at step=200
28/12/2021 17:19:09: Saving results at step=210
28/12/2021 18:35:07: Saving results at step=220
28/12/2021 19:52:18: Saving results at step=230
28/12/2021 21:08:44: Saving results at step=240
28/12/2021 22:24:36: Saving results at step=250
28/12/2021 23:40:43: Saving results at step=260
29/12/2021 00:58:55: Saving results at step=270
29/12/2021 02:16:52: Saving results at step=280
29/12/2021 03:33:25: Saving results at step=290
29/12/2021 04:50:24: Saving results at step=300
29/12/2021 06:07:04: Saving results at step=310
29/12/2021 07:24:46: Saving results at step=320
29/12/2021 08:42:52: Saving results at step=330
29/12/2021 09:59:15: Saving results at step=340
29/12/2021 11:16:15: Saving results at step=350
29/12/2021 12:33:16: Saving results at step=360
29/12/2021 13:51:12: Saving results at step=370
29/12/2021 15:08:04: Saving results at step=380
29/12/2021 16:25:10: Saving results at step=390
29/12/2021 17:41:36: Saving results at step=400
29/12/2021 18:59:18: Saving results at step=410
29/12/2021 20:15:31: Saving results at step=420
29/12/2021 21:32:57: Saving results at step=430
29/12/2021 22:50:26: Saving results at step=440
30/12/2021 00:08:42: Saving results at step=450
30/12/2021 01:26:05: Saving results at step=460
30/12/2021 02:42:42: Saving results at step=470
30/12/2021 04:00:37: Saving results at step=480
30/12/2021 05:17:39: Saving results at step=490
30/12/2021 06:34:48: Saving results at step=500
30/12/2021 07:51:23: Saving results at step=510
30/12/2021 09:08:24: Saving results at step=520
30/12/2021 10:24:56: Saving results at step=530
30/12/2021 11:40:32: Saving results at step=540
30/12/2021 12:58:37: Saving results at step=550
30/12/2021 14:16:03: Saving results at step=560
30/12/2021 15:33:29: Saving results at step=570
30/12/2021 16:50:51: Saving results at step=580
30/12/2021 18:07:28: Saving results at step=590
30/12/2021 19:23:32: Saving results at step=600
30/12/2021 20:39:43: Saving results at step=610
30/12/2021 21:55:51: Saving results at step=620
