10/01/2022 23:20:46: Started Running
10/01/2022 23:20:46: Training models
10/01/2022 23:21:04: Initiates models
10/01/2022 23:21:21: Starting DA process
10/01/2022 23:28:55: Saving results at step=0
11/01/2022 00:46:27: Saving results at step=10
11/01/2022 02:04:23: Saving results at step=20
11/01/2022 03:22:15: Saving results at step=30
11/01/2022 04:39:34: Saving results at step=40
11/01/2022 05:56:43: Saving results at step=50
11/01/2022 07:14:32: Saving results at step=60
11/01/2022 08:32:36: Saving results at step=70
11/01/2022 09:50:10: Saving results at step=80
11/01/2022 11:07:51: Saving results at step=90
11/01/2022 12:24:18: Saving results at step=100
11/01/2022 13:40:58: Saving results at step=110
11/01/2022 14:58:18: Saving results at step=120
11/01/2022 16:15:29: Saving results at step=130
11/01/2022 17:32:00: Saving results at step=140
11/01/2022 18:50:33: Saving results at step=150
11/01/2022 20:07:43: Saving results at step=160
11/01/2022 21:24:30: Saving results at step=170
11/01/2022 22:41:51: Saving results at step=180
11/01/2022 23:59:21: Saving results at step=190
12/01/2022 01:15:57: Saving results at step=200
12/01/2022 02:32:11: Saving results at step=210
12/01/2022 03:49:24: Saving results at step=220
12/01/2022 05:06:36: Saving results at step=230
12/01/2022 06:24:05: Saving results at step=240
12/01/2022 07:41:06: Saving results at step=250
12/01/2022 08:57:35: Saving results at step=260
12/01/2022 10:14:26: Saving results at step=270
12/01/2022 11:32:03: Saving results at step=280
12/01/2022 12:48:12: Saving results at step=290
12/01/2022 14:05:42: Saving results at step=300
12/01/2022 15:23:14: Saving results at step=310
12/01/2022 16:40:11: Saving results at step=320
12/01/2022 17:58:44: Saving results at step=330
12/01/2022 19:16:11: Saving results at step=340
12/01/2022 20:33:22: Saving results at step=350
12/01/2022 21:50:21: Saving results at step=360
12/01/2022 23:07:25: Saving results at step=370
13/01/2022 00:24:30: Saving results at step=380
13/01/2022 01:41:22: Saving results at step=390
13/01/2022 02:59:04: Saving results at step=400
13/01/2022 04:16:42: Saving results at step=410
13/01/2022 05:32:46: Saving results at step=420
13/01/2022 06:49:49: Saving results at step=430
13/01/2022 08:06:40: Saving results at step=440
13/01/2022 09:24:22: Saving results at step=450
13/01/2022 10:42:03: Saving results at step=460
13/01/2022 11:59:27: Saving results at step=470
13/01/2022 13:16:21: Saving results at step=480
13/01/2022 14:32:52: Saving results at step=490
13/01/2022 15:50:52: Saving results at step=500
13/01/2022 17:08:30: Saving results at step=510
13/01/2022 18:24:51: Saving results at step=520
13/01/2022 19:41:53: Saving results at step=530
13/01/2022 20:59:07: Saving results at step=540
13/01/2022 22:15:50: Saving results at step=550
13/01/2022 23:32:27: Saving results at step=560
14/01/2022 00:49:04: Saving results at step=570
14/01/2022 02:06:44: Saving results at step=580
14/01/2022 03:22:54: Saving results at step=590
14/01/2022 04:41:19: Saving results at step=600
14/01/2022 05:58:26: Saving results at step=610
14/01/2022 07:15:39: Saving results at step=620
14/01/2022 08:31:59: Saving results at step=630
14/01/2022 09:48:33: Saving results at step=640
14/01/2022 11:05:14: Saving results at step=650
14/01/2022 12:23:02: Saving results at step=660
14/01/2022 13:40:12: Saving results at step=670
14/01/2022 14:55:49: Saving results at step=680
14/01/2022 16:12:16: Saving results at step=690
14/01/2022 17:28:49: Saving results at step=700
14/01/2022 18:46:23: Saving results at step=710
14/01/2022 20:03:26: Saving results at step=720
14/01/2022 21:20:37: Saving results at step=730
14/01/2022 22:37:05: Saving results at step=740
14/01/2022 23:54:18: Saving results at step=750
15/01/2022 01:11:06: Saving results at step=760
15/01/2022 02:27:40: Saving results at step=770
15/01/2022 03:45:10: Saving results at step=780
15/01/2022 05:01:44: Saving results at step=790
15/01/2022 06:19:16: Saving results at step=800
15/01/2022 07:37:53: Saving results at step=810
15/01/2022 08:55:08: Saving results at step=820
15/01/2022 10:12:27: Saving results at step=830
15/01/2022 11:29:53: Saving results at step=840
15/01/2022 12:23:45: Done!
