22/12/2021 09:33:23: Started Running
22/12/2021 09:33:23: Training models
22/12/2021 09:36:11: Initiates models
22/12/2021 09:36:29: Starting DA process
22/12/2021 09:44:40: Saving results at step=0
22/12/2021 11:02:16: Saving results at step=10
22/12/2021 12:19:25: Saving results at step=20
22/12/2021 13:35:35: Saving results at step=30
22/12/2021 14:52:11: Saving results at step=40
22/12/2021 16:08:51: Saving results at step=50
22/12/2021 17:25:36: Saving results at step=60
22/12/2021 18:43:15: Saving results at step=70
22/12/2021 20:00:12: Saving results at step=80
22/12/2021 21:16:47: Saving results at step=90
22/12/2021 22:33:48: Saving results at step=100
22/12/2021 23:50:50: Saving results at step=110
23/12/2021 01:08:00: Saving results at step=120
23/12/2021 02:25:12: Saving results at step=130
23/12/2021 03:41:43: Saving results at step=140
23/12/2021 04:57:58: Saving results at step=150
23/12/2021 06:14:53: Saving results at step=160
23/12/2021 07:32:31: Saving results at step=170
23/12/2021 08:49:52: Saving results at step=180
23/12/2021 10:07:31: Saving results at step=190
23/12/2021 11:24:02: Saving results at step=200
23/12/2021 12:40:25: Saving results at step=210
23/12/2021 13:57:13: Saving results at step=220
23/12/2021 15:12:53: Saving results at step=230
23/12/2021 16:29:56: Saving results at step=240
23/12/2021 17:47:00: Saving results at step=250
23/12/2021 19:04:00: Saving results at step=260
23/12/2021 20:21:22: Saving results at step=270
23/12/2021 21:38:20: Saving results at step=280
23/12/2021 22:55:17: Saving results at step=290
24/12/2021 00:12:43: Saving results at step=300
24/12/2021 01:30:48: Saving results at step=310
24/12/2021 02:47:27: Saving results at step=320
24/12/2021 04:03:46: Saving results at step=330
24/12/2021 05:20:20: Saving results at step=340
24/12/2021 06:36:49: Saving results at step=350
24/12/2021 07:53:45: Saving results at step=360
24/12/2021 09:11:10: Saving results at step=370
24/12/2021 10:28:03: Saving results at step=380
24/12/2021 11:45:41: Saving results at step=390
24/12/2021 13:02:36: Saving results at step=400
24/12/2021 14:19:14: Saving results at step=410
24/12/2021 15:36:51: Saving results at step=420
24/12/2021 16:53:04: Saving results at step=430
24/12/2021 18:09:02: Saving results at step=440
24/12/2021 19:26:19: Saving results at step=450
24/12/2021 20:44:11: Saving results at step=460
24/12/2021 22:01:27: Saving results at step=470
24/12/2021 23:18:24: Saving results at step=480
25/12/2021 00:36:02: Saving results at step=490
25/12/2021 01:52:31: Saving results at step=500
25/12/2021 03:10:11: Saving results at step=510
25/12/2021 04:28:16: Saving results at step=520
25/12/2021 05:45:21: Saving results at step=530
25/12/2021 07:02:41: Saving results at step=540
25/12/2021 08:19:39: Saving results at step=550
25/12/2021 09:36:53: Saving results at step=560
25/12/2021 10:54:41: Saving results at step=570
25/12/2021 12:10:39: Saving results at step=580
25/12/2021 13:26:13: Saving results at step=590
25/12/2021 14:43:01: Saving results at step=600
25/12/2021 16:00:36: Saving results at step=610
25/12/2021 17:17:46: Saving results at step=620
25/12/2021 18:34:47: Saving results at step=630
25/12/2021 19:51:17: Saving results at step=640
25/12/2021 21:08:26: Saving results at step=650
25/12/2021 22:24:48: Saving results at step=660
25/12/2021 23:42:00: Saving results at step=670
26/12/2021 00:58:37: Saving results at step=680
26/12/2021 02:16:22: Saving results at step=690
26/12/2021 03:32:37: Saving results at step=700
26/12/2021 04:48:47: Saving results at step=710
26/12/2021 06:04:28: Saving results at step=720
26/12/2021 07:20:56: Saving results at step=730
26/12/2021 08:37:18: Saving results at step=740
26/12/2021 09:55:02: Saving results at step=750
26/12/2021 11:12:55: Saving results at step=760
26/12/2021 12:29:57: Saving results at step=770
26/12/2021 13:46:48: Saving results at step=780
26/12/2021 15:05:04: Saving results at step=790
26/12/2021 16:22:25: Saving results at step=800
26/12/2021 17:39:12: Saving results at step=810
26/12/2021 18:56:10: Saving results at step=820
26/12/2021 20:13:05: Saving results at step=830
26/12/2021 21:30:08: Saving results at step=840
26/12/2021 22:24:09: Done!
