27/12/2021 12:45:07: Started Running
27/12/2021 12:45:07: Training models
27/12/2021 14:13:23: Initiates models
27/12/2021 14:13:41: Starting DA process
27/12/2021 14:21:21: Saving results at step=0
27/12/2021 15:39:04: Saving results at step=10
27/12/2021 16:56:00: Saving results at step=20
27/12/2021 18:11:59: Saving results at step=30
27/12/2021 19:28:55: Saving results at step=40
27/12/2021 20:46:35: Saving results at step=50
27/12/2021 22:03:53: Saving results at step=60
27/12/2021 23:20:41: Saving results at step=70
28/12/2021 00:37:17: Saving results at step=80
28/12/2021 01:53:45: Saving results at step=90
28/12/2021 03:10:45: Saving results at step=100
28/12/2021 04:30:06: Saving results at step=110
28/12/2021 05:46:28: Saving results at step=120
28/12/2021 07:02:53: Saving results at step=130
28/12/2021 08:19:24: Saving results at step=140
28/12/2021 09:35:43: Saving results at step=150
28/12/2021 10:53:10: Saving results at step=160
28/12/2021 12:09:03: Saving results at step=170
28/12/2021 13:25:05: Saving results at step=180
28/12/2021 14:42:59: Saving results at step=190
28/12/2021 15:59:31: Saving results at step=200
28/12/2021 17:17:11: Saving results at step=210
28/12/2021 18:34:18: Saving results at step=220
28/12/2021 19:52:14: Saving results at step=230
28/12/2021 21:09:10: Saving results at step=240
28/12/2021 22:25:19: Saving results at step=250
28/12/2021 23:42:45: Saving results at step=260
29/12/2021 01:01:09: Saving results at step=270
29/12/2021 02:18:16: Saving results at step=280
29/12/2021 03:34:43: Saving results at step=290
29/12/2021 04:51:38: Saving results at step=300
29/12/2021 06:08:21: Saving results at step=310
29/12/2021 07:26:11: Saving results at step=320
29/12/2021 08:42:31: Saving results at step=330
29/12/2021 10:01:00: Saving results at step=340
29/12/2021 11:17:26: Saving results at step=350
29/12/2021 12:33:57: Saving results at step=360
29/12/2021 13:49:44: Saving results at step=370
29/12/2021 15:05:38: Saving results at step=380
29/12/2021 16:21:37: Saving results at step=390
29/12/2021 17:37:34: Saving results at step=400
29/12/2021 18:54:13: Saving results at step=410
29/12/2021 20:12:07: Saving results at step=420
29/12/2021 21:29:10: Saving results at step=430
29/12/2021 22:46:18: Saving results at step=440
30/12/2021 00:01:53: Saving results at step=450
30/12/2021 01:17:09: Saving results at step=460
30/12/2021 02:33:04: Saving results at step=470
30/12/2021 03:50:09: Saving results at step=480
30/12/2021 05:07:26: Saving results at step=490
30/12/2021 06:24:02: Saving results at step=500
30/12/2021 07:39:48: Saving results at step=510
30/12/2021 08:57:41: Saving results at step=520
30/12/2021 10:15:51: Saving results at step=530
30/12/2021 11:34:06: Saving results at step=540
30/12/2021 12:51:52: Saving results at step=550
30/12/2021 14:09:53: Saving results at step=560
30/12/2021 15:26:57: Saving results at step=570
30/12/2021 16:44:03: Saving results at step=580
30/12/2021 18:01:40: Saving results at step=590
30/12/2021 19:18:32: Saving results at step=600
30/12/2021 20:35:49: Saving results at step=610
30/12/2021 21:52:56: Saving results at step=620
30/12/2021 23:10:36: Saving results at step=630
31/12/2021 00:30:06: Saving results at step=640
31/12/2021 01:47:46: Saving results at step=650
31/12/2021 03:05:42: Saving results at step=660
31/12/2021 04:22:57: Saving results at step=670
31/12/2021 05:40:30: Saving results at step=680
31/12/2021 06:57:24: Saving results at step=690
31/12/2021 08:14:16: Saving results at step=700
31/12/2021 09:30:42: Saving results at step=710
31/12/2021 10:47:45: Saving results at step=720
31/12/2021 12:05:35: Saving results at step=730
31/12/2021 13:22:39: Saving results at step=740
31/12/2021 14:39:27: Saving results at step=750
31/12/2021 15:56:19: Saving results at step=760
31/12/2021 17:13:09: Saving results at step=770
31/12/2021 18:30:51: Saving results at step=780
31/12/2021 19:47:43: Saving results at step=790
31/12/2021 21:05:53: Saving results at step=800
31/12/2021 22:23:41: Saving results at step=810
