08/01/2022 02:18:16: Started Running
08/01/2022 02:18:17: Training models
08/01/2022 05:40:13: Initiates models
08/01/2022 05:40:31: Starting DA process
08/01/2022 05:48:54: Saving results at step=0
08/01/2022 07:05:08: Saving results at step=10
08/01/2022 08:21:59: Saving results at step=20
08/01/2022 09:38:56: Saving results at step=30
08/01/2022 10:56:12: Saving results at step=40
08/01/2022 12:12:14: Saving results at step=50
08/01/2022 13:27:47: Saving results at step=60
08/01/2022 14:44:41: Saving results at step=70
08/01/2022 16:01:33: Saving results at step=80
08/01/2022 17:17:28: Saving results at step=90
08/01/2022 18:33:26: Saving results at step=100
08/01/2022 19:50:03: Saving results at step=110
08/01/2022 21:07:09: Saving results at step=120
08/01/2022 22:23:42: Saving results at step=130
08/01/2022 23:39:50: Saving results at step=140
09/01/2022 00:56:16: Saving results at step=150
09/01/2022 02:11:58: Saving results at step=160
09/01/2022 03:29:10: Saving results at step=170
09/01/2022 04:45:02: Saving results at step=180
09/01/2022 06:01:39: Saving results at step=190
09/01/2022 07:18:35: Saving results at step=200
09/01/2022 08:34:52: Saving results at step=210
09/01/2022 09:52:04: Saving results at step=220
09/01/2022 11:08:12: Saving results at step=230
09/01/2022 12:24:25: Saving results at step=240
09/01/2022 13:41:03: Saving results at step=250
09/01/2022 14:58:16: Saving results at step=260
09/01/2022 16:14:31: Saving results at step=270
09/01/2022 17:31:05: Saving results at step=280
09/01/2022 18:47:37: Saving results at step=290
09/01/2022 20:04:42: Saving results at step=300
09/01/2022 21:22:03: Saving results at step=310
09/01/2022 22:38:46: Saving results at step=320
09/01/2022 23:55:11: Saving results at step=330
10/01/2022 01:10:52: Saving results at step=340
10/01/2022 02:27:36: Saving results at step=350
10/01/2022 03:43:44: Saving results at step=360
10/01/2022 04:59:02: Saving results at step=370
10/01/2022 06:15:47: Saving results at step=380
10/01/2022 07:32:53: Saving results at step=390
10/01/2022 08:49:40: Saving results at step=400
10/01/2022 10:06:12: Saving results at step=410
10/01/2022 11:24:27: Saving results at step=420
10/01/2022 12:41:34: Saving results at step=430
10/01/2022 13:58:24: Saving results at step=440
10/01/2022 15:15:29: Saving results at step=450
10/01/2022 16:32:30: Saving results at step=460
10/01/2022 17:48:55: Saving results at step=470
10/01/2022 19:05:21: Saving results at step=480
10/01/2022 20:21:47: Saving results at step=490
10/01/2022 21:37:40: Saving results at step=500
10/01/2022 22:55:42: Saving results at step=510
11/01/2022 00:12:15: Saving results at step=520
11/01/2022 01:29:15: Saving results at step=530
11/01/2022 02:45:35: Saving results at step=540
11/01/2022 04:01:31: Saving results at step=550
11/01/2022 05:17:15: Saving results at step=560
11/01/2022 06:32:31: Saving results at step=570
11/01/2022 07:49:33: Saving results at step=580
11/01/2022 09:06:49: Saving results at step=590
11/01/2022 10:22:59: Saving results at step=600
11/01/2022 11:40:41: Saving results at step=610
11/01/2022 12:58:07: Saving results at step=620
11/01/2022 14:14:31: Saving results at step=630
11/01/2022 15:31:42: Saving results at step=640
11/01/2022 16:49:03: Saving results at step=650
11/01/2022 18:05:52: Saving results at step=660
11/01/2022 19:22:47: Saving results at step=670
11/01/2022 20:39:35: Saving results at step=680
11/01/2022 21:56:46: Saving results at step=690
11/01/2022 23:13:35: Saving results at step=700
12/01/2022 00:29:57: Saving results at step=710
12/01/2022 01:46:25: Saving results at step=720
12/01/2022 03:03:34: Saving results at step=730
12/01/2022 04:20:33: Saving results at step=740
12/01/2022 05:38:24: Saving results at step=750
12/01/2022 06:54:48: Saving results at step=760
12/01/2022 08:11:30: Saving results at step=770
12/01/2022 09:29:25: Saving results at step=780
12/01/2022 10:46:01: Saving results at step=790
12/01/2022 12:03:09: Saving results at step=800
12/01/2022 13:19:30: Saving results at step=810
12/01/2022 14:36:55: Saving results at step=820
12/01/2022 15:53:02: Saving results at step=830
12/01/2022 17:10:17: Saving results at step=840
12/01/2022 18:04:13: Done!
