22/12/2021 12:05:39: Started Running
22/12/2021 12:05:40: Training models
22/12/2021 12:08:28: Initiates models
22/12/2021 12:08:45: Starting DA process
22/12/2021 12:16:35: Saving results at step=0
22/12/2021 13:32:59: Saving results at step=10
22/12/2021 14:49:36: Saving results at step=20
22/12/2021 16:06:59: Saving results at step=30
22/12/2021 17:23:57: Saving results at step=40
22/12/2021 18:40:57: Saving results at step=50
22/12/2021 19:58:26: Saving results at step=60
22/12/2021 21:15:39: Saving results at step=70
22/12/2021 22:32:58: Saving results at step=80
22/12/2021 23:49:59: Saving results at step=90
23/12/2021 01:06:58: Saving results at step=100
23/12/2021 02:23:45: Saving results at step=110
23/12/2021 03:41:23: Saving results at step=120
23/12/2021 04:58:48: Saving results at step=130
23/12/2021 06:15:43: Saving results at step=140
23/12/2021 07:32:56: Saving results at step=150
23/12/2021 08:49:49: Saving results at step=160
23/12/2021 10:06:21: Saving results at step=170
23/12/2021 11:23:29: Saving results at step=180
23/12/2021 12:41:35: Saving results at step=190
23/12/2021 13:58:15: Saving results at step=200
23/12/2021 15:15:07: Saving results at step=210
23/12/2021 16:31:48: Saving results at step=220
23/12/2021 17:48:39: Saving results at step=230
23/12/2021 19:05:23: Saving results at step=240
23/12/2021 20:23:07: Saving results at step=250
23/12/2021 21:40:17: Saving results at step=260
23/12/2021 22:56:50: Saving results at step=270
24/12/2021 00:13:38: Saving results at step=280
24/12/2021 01:30:14: Saving results at step=290
24/12/2021 02:48:23: Saving results at step=300
24/12/2021 04:05:21: Saving results at step=310
24/12/2021 05:22:17: Saving results at step=320
24/12/2021 06:39:06: Saving results at step=330
24/12/2021 07:56:15: Saving results at step=340
24/12/2021 09:13:24: Saving results at step=350
24/12/2021 10:30:17: Saving results at step=360
24/12/2021 11:47:14: Saving results at step=370
24/12/2021 13:04:54: Saving results at step=380
24/12/2021 14:22:13: Saving results at step=390
24/12/2021 15:39:05: Saving results at step=400
24/12/2021 16:56:01: Saving results at step=410
24/12/2021 18:12:30: Saving results at step=420
24/12/2021 19:29:17: Saving results at step=430
24/12/2021 20:45:49: Saving results at step=440
24/12/2021 22:01:39: Saving results at step=450
24/12/2021 23:18:15: Saving results at step=460
25/12/2021 00:36:16: Saving results at step=470
25/12/2021 01:52:31: Saving results at step=480
25/12/2021 03:10:06: Saving results at step=490
25/12/2021 04:27:00: Saving results at step=500
25/12/2021 05:43:36: Saving results at step=510
25/12/2021 07:00:08: Saving results at step=520
25/12/2021 08:16:47: Saving results at step=530
25/12/2021 09:33:25: Saving results at step=540
25/12/2021 10:50:15: Saving results at step=550
25/12/2021 12:07:11: Saving results at step=560
25/12/2021 13:23:42: Saving results at step=570
25/12/2021 14:41:13: Saving results at step=580
25/12/2021 15:57:45: Saving results at step=590
25/12/2021 17:14:56: Saving results at step=600
25/12/2021 18:32:01: Saving results at step=610
25/12/2021 19:48:57: Saving results at step=620
25/12/2021 21:05:58: Saving results at step=630
25/12/2021 22:23:01: Saving results at step=640
25/12/2021 23:41:12: Saving results at step=650
26/12/2021 00:57:14: Saving results at step=660
26/12/2021 02:16:04: Saving results at step=670
26/12/2021 03:33:16: Saving results at step=680
26/12/2021 04:50:29: Saving results at step=690
26/12/2021 06:07:11: Saving results at step=700
26/12/2021 07:23:43: Saving results at step=710
26/12/2021 08:41:01: Saving results at step=720
26/12/2021 09:57:36: Saving results at step=730
26/12/2021 11:14:30: Saving results at step=740
26/12/2021 12:30:58: Saving results at step=750
26/12/2021 13:47:43: Saving results at step=760
26/12/2021 15:04:07: Saving results at step=770
26/12/2021 16:21:11: Saving results at step=780
26/12/2021 17:38:24: Saving results at step=790
26/12/2021 18:54:46: Saving results at step=800
26/12/2021 20:11:39: Saving results at step=810
26/12/2021 21:28:12: Saving results at step=820
26/12/2021 22:44:34: Saving results at step=830
27/12/2021 00:01:40: Saving results at step=840
27/12/2021 00:55:46: Done!
