27/12/2021 02:12:02: Started Running
27/12/2021 02:12:02: Training models
27/12/2021 03:41:12: Initiates models
27/12/2021 03:41:28: Starting DA process
27/12/2021 03:44:46: Saving results at step=0
27/12/2021 04:17:23: Saving results at step=10
27/12/2021 04:50:20: Saving results at step=20
27/12/2021 05:24:55: Saving results at step=30
27/12/2021 05:58:11: Saving results at step=40
27/12/2021 06:31:00: Saving results at step=50
27/12/2021 07:03:49: Saving results at step=60
27/12/2021 07:36:57: Saving results at step=70
27/12/2021 08:09:51: Saving results at step=80
27/12/2021 08:44:34: Saving results at step=90
27/12/2021 09:17:24: Saving results at step=100
27/12/2021 09:50:20: Saving results at step=110
27/12/2021 10:23:13: Saving results at step=120
27/12/2021 10:56:57: Saving results at step=130
27/12/2021 11:29:44: Saving results at step=140
27/12/2021 12:02:27: Saving results at step=150
27/12/2021 12:35:15: Saving results at step=160
27/12/2021 13:08:06: Saving results at step=170
27/12/2021 13:40:44: Saving results at step=180
27/12/2021 14:13:39: Saving results at step=190
27/12/2021 14:46:38: Saving results at step=200
27/12/2021 15:19:25: Saving results at step=210
27/12/2021 15:52:29: Saving results at step=220
27/12/2021 16:25:13: Saving results at step=230
27/12/2021 16:58:09: Saving results at step=240
27/12/2021 17:31:14: Saving results at step=250
27/12/2021 18:04:17: Saving results at step=260
27/12/2021 18:37:13: Saving results at step=270
27/12/2021 19:10:10: Saving results at step=280
27/12/2021 19:43:21: Saving results at step=290
27/12/2021 20:16:08: Saving results at step=300
27/12/2021 20:49:49: Saving results at step=310
27/12/2021 21:24:48: Saving results at step=320
27/12/2021 21:57:44: Saving results at step=330
27/12/2021 22:30:30: Saving results at step=340
27/12/2021 23:03:17: Saving results at step=350
27/12/2021 23:36:04: Saving results at step=360
28/12/2021 00:09:14: Saving results at step=370
28/12/2021 00:42:14: Saving results at step=380
28/12/2021 01:14:56: Saving results at step=390
28/12/2021 01:47:47: Saving results at step=400
28/12/2021 02:20:34: Saving results at step=410
28/12/2021 02:53:23: Saving results at step=420
28/12/2021 03:26:26: Saving results at step=430
28/12/2021 03:59:33: Saving results at step=440
28/12/2021 04:32:18: Saving results at step=450
28/12/2021 05:05:16: Saving results at step=460
28/12/2021 05:38:33: Saving results at step=470
28/12/2021 06:11:41: Saving results at step=480
28/12/2021 06:44:24: Saving results at step=490
28/12/2021 07:17:14: Saving results at step=500
28/12/2021 07:49:47: Saving results at step=510
28/12/2021 08:22:28: Saving results at step=520
28/12/2021 08:55:06: Saving results at step=530
28/12/2021 09:27:57: Saving results at step=540
28/12/2021 10:00:58: Saving results at step=550
28/12/2021 10:33:49: Saving results at step=560
28/12/2021 11:06:33: Saving results at step=570
28/12/2021 11:38:55: Saving results at step=580
28/12/2021 12:11:38: Saving results at step=590
28/12/2021 12:45:42: Saving results at step=600
28/12/2021 13:18:47: Saving results at step=610
28/12/2021 13:51:40: Saving results at step=620
28/12/2021 14:24:19: Saving results at step=630
28/12/2021 14:57:12: Saving results at step=640
28/12/2021 15:30:05: Saving results at step=650
28/12/2021 16:02:39: Saving results at step=660
28/12/2021 16:35:23: Saving results at step=670
28/12/2021 17:08:06: Saving results at step=680
28/12/2021 17:40:47: Saving results at step=690
28/12/2021 18:13:37: Saving results at step=700
28/12/2021 18:46:38: Saving results at step=710
28/12/2021 19:19:19: Saving results at step=720
28/12/2021 19:52:12: Saving results at step=730
28/12/2021 20:24:54: Saving results at step=740
28/12/2021 20:57:36: Saving results at step=750
28/12/2021 21:30:02: Saving results at step=760
28/12/2021 22:05:11: Saving results at step=770
28/12/2021 22:38:10: Saving results at step=780
28/12/2021 23:11:08: Saving results at step=790
28/12/2021 23:43:41: Saving results at step=800
29/12/2021 00:16:06: Saving results at step=810
29/12/2021 00:48:43: Saving results at step=820
29/12/2021 01:21:19: Saving results at step=830
29/12/2021 01:54:13: Saving results at step=840
29/12/2021 02:17:05: Done!
