20/12/2021 10:36:56: Started Running
20/12/2021 10:36:57: Training models
20/12/2021 10:39:57: Initiates models
20/12/2021 10:40:13: Starting DA process
20/12/2021 10:43:29: Saving results at step=0
20/12/2021 11:17:16: Saving results at step=10
20/12/2021 11:50:37: Saving results at step=20
20/12/2021 12:23:47: Saving results at step=30
20/12/2021 12:56:38: Saving results at step=40
20/12/2021 13:29:19: Saving results at step=50
20/12/2021 14:02:14: Saving results at step=60
20/12/2021 14:34:43: Saving results at step=70
20/12/2021 15:07:13: Saving results at step=80
20/12/2021 15:39:57: Saving results at step=90
20/12/2021 16:12:35: Saving results at step=100
20/12/2021 16:45:50: Saving results at step=110
20/12/2021 17:18:40: Saving results at step=120
20/12/2021 17:51:35: Saving results at step=130
20/12/2021 18:24:29: Saving results at step=140
20/12/2021 18:57:07: Saving results at step=150
20/12/2021 19:29:43: Saving results at step=160
20/12/2021 20:02:26: Saving results at step=170
20/12/2021 20:35:20: Saving results at step=180
20/12/2021 21:08:00: Saving results at step=190
20/12/2021 21:40:44: Saving results at step=200
20/12/2021 22:13:33: Saving results at step=210
20/12/2021 22:46:11: Saving results at step=220
20/12/2021 23:18:53: Saving results at step=230
20/12/2021 23:51:54: Saving results at step=240
21/12/2021 00:24:58: Saving results at step=250
21/12/2021 00:57:52: Saving results at step=260
21/12/2021 01:30:41: Saving results at step=270
21/12/2021 02:03:35: Saving results at step=280
21/12/2021 02:36:18: Saving results at step=290
21/12/2021 03:09:23: Saving results at step=300
21/12/2021 03:42:05: Saving results at step=310
21/12/2021 04:15:04: Saving results at step=320
21/12/2021 04:47:39: Saving results at step=330
21/12/2021 05:20:32: Saving results at step=340
21/12/2021 05:53:46: Saving results at step=350
21/12/2021 06:26:28: Saving results at step=360
21/12/2021 06:59:06: Saving results at step=370
21/12/2021 07:31:55: Saving results at step=380
21/12/2021 08:04:30: Saving results at step=390
21/12/2021 08:37:38: Saving results at step=400
21/12/2021 09:10:22: Saving results at step=410
21/12/2021 09:44:06: Saving results at step=420
21/12/2021 10:17:07: Saving results at step=430
21/12/2021 10:49:55: Saving results at step=440
21/12/2021 11:22:53: Saving results at step=450
21/12/2021 11:55:47: Saving results at step=460
21/12/2021 12:28:34: Saving results at step=470
21/12/2021 13:01:50: Saving results at step=480
21/12/2021 13:35:01: Saving results at step=490
21/12/2021 14:07:50: Saving results at step=500
21/12/2021 14:40:28: Saving results at step=510
21/12/2021 15:13:28: Saving results at step=520
21/12/2021 15:46:34: Saving results at step=530
21/12/2021 16:19:53: Saving results at step=540
21/12/2021 16:52:54: Saving results at step=550
21/12/2021 17:25:54: Saving results at step=560
21/12/2021 17:58:55: Saving results at step=570
21/12/2021 18:31:48: Saving results at step=580
21/12/2021 19:04:59: Saving results at step=590
21/12/2021 19:37:59: Saving results at step=600
21/12/2021 20:11:44: Saving results at step=610
21/12/2021 20:44:46: Saving results at step=620
21/12/2021 21:18:09: Saving results at step=630
21/12/2021 21:51:07: Saving results at step=640
21/12/2021 22:23:54: Saving results at step=650
21/12/2021 22:56:44: Saving results at step=660
21/12/2021 23:29:41: Saving results at step=670
22/12/2021 00:02:47: Saving results at step=680
22/12/2021 00:35:29: Saving results at step=690
22/12/2021 01:08:39: Saving results at step=700
22/12/2021 01:41:33: Saving results at step=710
22/12/2021 02:14:40: Saving results at step=720
22/12/2021 02:47:54: Saving results at step=730
22/12/2021 03:21:21: Saving results at step=740
22/12/2021 03:54:25: Saving results at step=750
22/12/2021 04:27:38: Saving results at step=760
22/12/2021 05:00:26: Saving results at step=770
22/12/2021 05:33:50: Saving results at step=780
22/12/2021 06:07:20: Saving results at step=790
22/12/2021 06:40:43: Saving results at step=800
22/12/2021 07:13:47: Saving results at step=810
22/12/2021 07:46:45: Saving results at step=820
22/12/2021 08:19:49: Saving results at step=830
22/12/2021 08:53:31: Saving results at step=840
22/12/2021 09:16:39: Done!
